game_code, date, visit_team_code, home_team_code, stadium_code, site, year, stadium_code, name, city, state, capacity, surface, year_opened, year
0086016420050901, 09/01/2005, 86, 164, 25, TEAM, 2005, 25, Rentschler Field, Hartford, CT, 40000, Grass, 2003, 2005
0086016420050901, 09/01/2005, 86, 164, 25, TEAM, 2005, 25, Rentschler Field, Hartford, CT, 40000, Grass, 2003, 2006
0086016420050901, 09/01/2005, 86, 164, 25, TEAM, 2005, 25, Rentschler Field, Hartford, CT, 40000, Grass, 2003, 2007
0086016420050901, 09/01/2005, 86, 164, 25, TEAM, 2005, 25, Rentschler Field, Hartford, CT, 40000, Grass, 2003, 2008
0086016420050901, 09/01/2005, 86, 164, 25, TEAM, 2005, 25, Rentschler Field, Hartford, CT, 40000, Grass, 2003, 2009
0086016420050901, 09/01/2005, 86, 164, 25, TEAM, 2005, 25, Rentschler Field, Hartford, CT, 40000, Grass, 2003, 2010
0086016420050901, 09/01/2005, 86, 164, 25, TEAM, 2005, 25, Rentschler Field, Hartford, CT, 40000, Grass, 2003, 2011
0086016420050901, 09/01/2005, 86, 164, 25, TEAM, 2005, 25, Rentschler Field, Hartford, CT, 40000, Grass, 2003, 2012
0086016420050901, 09/01/2005, 86, 164, 25, TEAM, 2005, 25, Rentschler Field, Hartford, CT, 40000, Grass, 2003, 2013
0128064820050901, 09/01/2005, 128, 648, 113, TEAM, 2005, 113, Williams-Brice Stadium, Columbia, SC, 80250, Grass, 1934, 2005
0128064820050901, 09/01/2005, 128, 648, 113, TEAM, 2005, 113, Williams-Brice Stadium, Columbia, SC, 80250, Grass, 1934, 2006
0128064820050901, 09/01/2005, 128, 648, 113, TEAM, 2005, 113, Williams-Brice Stadium, Columbia, SC, 80250, Grass, 1934, 2007
0128064820050901, 09/01/2005, 128, 648, 113, TEAM, 2005, 113, Williams-Brice Stadium, Columbia, SC, 80250, Grass, 1934, 2008
0128064820050901, 09/01/2005, 128, 648, 113, TEAM, 2005, 113, Williams-Brice Stadium, Columbia, SC, 80250, Grass, 1934, 2009
0128064820050901, 09/01/2005, 128, 648, 113, TEAM, 2005, 113, Williams-Brice Stadium, Columbia, SC, 80250, Grass, 1934, 2010
0128064820050901, 09/01/2005, 128, 648, 113, TEAM, 2005, 113, Williams-Brice Stadium, Columbia, SC, 80250, Grass, 1934, 2011
0128064820050901, 09/01/2005, 128, 648, 113, TEAM, 2005, 113, Williams-Brice Stadium, Columbia, SC, 80250, Grass, 1934, 2012
0128064820050901, 09/01/2005, 128, 648, 113, TEAM, 2005, 113, Williams-Brice Stadium, Columbia, SC, 80250, Grass, 1934, 2013
0204014020050901, 09/01/2005, 204, 140, 97, TEAM, 2005, 97, Nippert Stadium, Cincinnati, OH, 38000, FieldTurf, 1916, 2005
0204014020050901, 09/01/2005, 204, 140, 97, TEAM, 2005, 97, Nippert Stadium, Cincinnati, OH, 38000, FieldTurf, 1916, 2006
0204014020050901, 09/01/2005, 204, 140, 97, TEAM, 2005, 97, Nippert Stadium, Cincinnati, OH, 38000, FieldTurf, 1916, 2007
0204014020050901, 09/01/2005, 204, 140, 97, TEAM, 2005, 97, Nippert Stadium, Cincinnati, OH, 38000, FieldTurf, 1916, 2008
0204014020050901, 09/01/2005, 204, 140, 97, TEAM, 2005, 97, Nippert Stadium, Cincinnati, OH, 38000, FieldTurf, 1916, 2009
0204014020050901, 09/01/2005, 204, 140, 97, TEAM, 2005, 97, Nippert Stadium, Cincinnati, OH, 38000, FieldTurf, 1916, 2010
0204014020050901, 09/01/2005, 204, 140, 97, TEAM, 2005, 97, Nippert Stadium, Cincinnati, OH, 38000, FieldTurf, 1916, 2011
0204014020050901, 09/01/2005, 204, 140, 97, TEAM, 2005, 97, Nippert Stadium, Cincinnati, OH, 38000, FieldTurf, 1916, 2012
0204014020050901, 09/01/2005, 204, 140, 97, TEAM, 2005, 97, Nippert Stadium, Cincinnati, OH, 38000, FieldTurf, 1916, 2013
0295075420050901, 09/01/2005, 295, 754, 138, TEAM, 2005, 138, Martin Stadium, Pullman, WA, 40000, FieldTurf, 1972, 2005
0295075420050901, 09/01/2005, 295, 754, 138, TEAM, 2005, 138, Martin Stadium, Pullman, WA, 40000, FieldTurf, 1972, 2006
0295075420050901, 09/01/2005, 295, 754, 138, TEAM, 2005, 138, Martin Stadium, Pullman, WA, 40000, FieldTurf, 1972, 2007
0295075420050901, 09/01/2005, 295, 754, 138, TEAM, 2005, 138, Martin Stadium, Pullman, WA, 40000, FieldTurf, 1972, 2008
0295075420050901, 09/01/2005, 295, 754, 138, TEAM, 2005, 138, Martin Stadium, Pullman, WA, 40000, FieldTurf, 1972, 2009
0295075420050901, 09/01/2005, 295, 754, 138, TEAM, 2005, 138, Martin Stadium, Pullman, WA, 40000, FieldTurf, 1972, 2010
0295075420050901, 09/01/2005, 295, 754, 138, TEAM, 2005, 138, Martin Stadium, Pullman, WA, 40000, FieldTurf, 1972, 2011
0295075420050901, 09/01/2005, 295, 754, 138, TEAM, 2005, 138, Martin Stadium, Pullman, WA, 40000, FieldTurf, 1972, 2012
0295075420050901, 09/01/2005, 295, 754, 138, TEAM, 2005, 138, Martin Stadium, Pullman, WA, 40000, FieldTurf, 1972, 2013
0428071920050901, 09/01/2005, 428, 719, 105, TEAM, 2005, 105, Skelly Stadium, Tulsa, OK, 40385, FieldTurf, 1930, 2005
0428071920050901, 09/01/2005, 428, 719, 105, TEAM, 2005, 105, Skelly Stadium, Tulsa, OK, 40385, FieldTurf, 1930, 2006
0428071920050901, 09/01/2005, 428, 719, 105, TEAM, 2005, 105, Skelly Stadium, Tulsa, OK, 40385, FieldTurf, 1930, 2007
0428071920050901, 09/01/2005, 428, 719, 105, TEAM, 2005, 105, Skelly Stadium, Tulsa, OK, 40385, FieldTurf, 1930, 2008
0428071920050901, 09/01/2005, 428, 719, 105, TEAM, 2005, 105, Skelly Stadium, Tulsa, OK, 40385, FieldTurf, 1930, 2009
0428071920050901, 09/01/2005, 428, 719, 105, TEAM, 2005, 105, Skelly Stadium, Tulsa, OK, 40385, FieldTurf, 1930, 2010
